State/UT,Death
Andaman and Nicobar Islands,129
Andhra Pradesh,14730
Arunachal Pradesh,296
Assam,6639
Bihar,12256
Chandigarh,1165
Chhattisgarh,14034
Dadra and Nagar Haveli and Daman and Diu,4
Delhi,26162
Goa,3832
Gujarat,10943
Haryana,10618
Himachal Pradesh,4134
Jammu and Kashmir,4751
Jharkhand,5316
Karnataka,40057
Kerala,68750
Ladakh,228
Lakshadweep,52
Madhya Pradesh,10735
Maharashtra,147831
Manipur,2120
Meghalaya,1593
Mizoram,694
Nagaland,760
Odisha,9124
Puducherry,1962
Punjab,17744
Rajasthan,9552
Sikkim,452
Tamil Nadu,38025
Telangana,4111
Tripura,922
Uttar Pradesh,23502
Uttarakhand,7693
West Bengal,21200
